file_committee_abbrev,committee_name,committee_code,subcommittee_name,subcommittee_code,member_first,member_last,state,party,position,majority_party,source_file,full_name,committee_name_hierarchy,subcommittee_name_hierarchy,level
JSEC,Joint Economic Committee,JSEC00,,MAIN,Marsha,Blackburn,TN,R,Member,R,committee_memberships_JSEC.xml,Marsha Blackburn,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Ted,Budd,NC,R,Member,R,committee_memberships_JSEC.xml,Ted Budd,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Tom,Cotton,AR,R,Member,R,committee_memberships_JSEC.xml,Tom Cotton,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Margaret Wood,Hassan,NH,D,Ranking,R,committee_memberships_JSEC.xml,Margaret Wood Hassan,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Martin,Heinrich,NM,D,Member,R,committee_memberships_JSEC.xml,Martin Heinrich,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Mark,Kelly,AZ,D,Member,R,committee_memberships_JSEC.xml,Mark Kelly,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Amy,Klobuchar,MN,D,Member,R,committee_memberships_JSEC.xml,Amy Klobuchar,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,David,McCormick,PA,R,Member,R,committee_memberships_JSEC.xml,David McCormick,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Ashley,Moody,FL,R,Member,R,committee_memberships_JSEC.xml,Ashley Moody,Joint Economic Committee,Main Committee,Main Committee
JSEC,Joint Economic Committee,JSEC00,,MAIN,Eric,Schmitt,MO,R,Vice Chairman,R,committee_memberships_JSEC.xml,Eric Schmitt,Joint Economic Committee,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Deb,Fischer,NE,R,Member,R,committee_memberships_JSLC.xml,Deb Fischer,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Cindy,Hyde-Smith,MS,R,Member,R,committee_memberships_JSLC.xml,Cindy Hyde-Smith,Joint Committee of Congress on the Library,Main Committee,Main Committee
JSLC,Joint Committee of Congress on the Library,JSLC00,,MAIN,Amy,Klobuchar,MN,D,Member,R,committee_memberships_JSLC.xml,Amy Klobuchar,Joint Committee of Congress on the Library,Main Committee,Main Committee
